CountActive,Description,Ateco,IdProvince
3892,ALTRE ATTIVITÀ DI SERVIZI,S,15
1,AMMINISTRAZIONE PUBBLICA E DIFESA ASSICURAZIONE SOCIALE OBBLIGATORIA,O,15
994,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,15
6234,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,15
2518,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,15
6640,ATTIVITA' IMMOBILIARI,L,15
8139,ATTIVITÀ MANIFATTURIERE,C,15
4529,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,15
19137,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,15
13454,COSTRUZIONI,F,15
13,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,15
109,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,15
171,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,15
540,ISTRUZIONE,P,15
3600,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,15
582,SANITA' E ASSISTENZA SOCIALE,Q,15
2795,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,15
3499,TRASPORTO E MAGAZZINAGGIO,H,15
16359,AGRICOLTURA SILVICOLTURA E PESCA,A,16
21,ALTRE ATTIVITÀ,X,16
1882,ALTRE ATTIVITÀ DI SERVIZI,S,16
481,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,16
7800,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,16
756,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,16
2498,ATTIVITA' IMMOBILIARI,L,16
3712,ATTIVITÀ MANIFATTURIERE,C,16
2838,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,16
7579,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,16
7263,COSTRUZIONI,F,16
23,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,16
72,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,16
1359,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,16
330,ISTRUZIONE,P,16
1539,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,16
214,SANITA' E ASSISTENZA SOCIALE,Q,16
1275,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,16
1487,TRASPORTO E MAGAZZINAGGIO,H,16
9401,AGRICOLTURA SILVICOLTURA E PESCA,A,17
72,ALTRE ATTIVITÀ,X,17
5423,ALTRE ATTIVITÀ DI SERVIZI,S,17
4,AMMINISTRAZIONE PUBBLICA E DIFESA ASSICURAZIONE SOCIALE OBBLIGATORIA,O,17
1641,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,17
7704,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,17
3,ATTIVITÀ DI FAMIGLIE E CONVIVENZE COME DATORI DI LAVORO PER PERSONALE DOMESTICO PRODUZIONE DI BENI E SERVIZI INDIFFERENZIATI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE,T,17
3213,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,17
8169,ATTIVITA' IMMOBILIARI,L,17
13290,ATTIVITÀ MANIFATTURIERE,C,17
6432,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,17
22577,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,17
16877,COSTRUZIONI,F,17
93,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,17
229,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,17
235,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,17
669,ISTRUZIONE,P,17
3954,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,17
779,SANITA' E ASSISTENZA SOCIALE,Q,17
2663,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,17
2636,TRASPORTO E MAGAZZINAGGIO,H,17
7152,AGRICOLTURA SILVICOLTURA E PESCA,A,18
29,ALTRE ATTIVITÀ,X,18
1509,ALTRE ATTIVITÀ DI SERVIZI,S,18
346,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,18
2718,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,18
559,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,18
508,ATTIVITA' IMMOBILIARI,L,18
2106,ATTIVITÀ MANIFATTURIERE,C,18
872,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,18
9709,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,18
4400,COSTRUZIONI,F,18
18,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,18
77,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,18
37,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,18
154,ISTRUZIONE,P,18
990,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,18
302,SANITA' E ASSISTENZA SOCIALE,Q,18
457,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,18
768,TRASPORTO E MAGAZZINAGGIO,H,18
2135,AGRICOLTURA SILVICOLTURA E PESCA,A,19
24,ALTRE ATTIVITÀ,X,19
1708,ALTRE ATTIVITÀ DI SERVIZI,S,19
457,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,19
3044,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,19
813,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,19
1135,ATTIVITA' IMMOBILIARI,L,19
2230,ATTIVITÀ MANIFATTURIERE,C,19
